0	231:4.614450173,284:4.5495875621,266:4.27900682656,472:4.27778601075,200:4.21337418031,462:4.17239781503,148:4.1720601005,479:4.14865931453,276:4.07520703517,271:4.02775223248,129:4.0271289933,458:4.02492253686,247:4.02434300592,227:3.99308178863,322:3.987339383
1	479:4.72004781773,472:4.32851979123,476:4.26913069184,322:4.22610887,171:4.17261749559,200:4.1679521263,343:4.15748120534,148:4.14621460183,278:4.08941100406,178:4.05172453055,240:4.04807179195,498:4.03093082125,273:4.03087332212,214:4.02203833318,181:4.0133116817
2	476:4.79586573263,479:4.46226905966,322:4.401669862,343:4.3015422062,240:4.25856738238,292:4.25666370107,144:4.11583696233,161:4.04637165238,214:4.03459441185,220:4.02830819112,176:4.01059490648,265:4.00411761415,341:3.97754425034,148:3.9609519303,284:3.94807100365
3	200:3.97563554908,129:3.64367226384,458:3.630723832,244:3.58395397582,214:3.55448596651,470:3.4870403354,284:3.45314338131,391:3.39444560019,204:3.38757686607,268:3.31562215322,278:3.27337418613,276:3.25455554199,148:3.19593583431,171:3.19000357512,308:3.18474385027
4	200:4.88970490139,276:4.73157645337,284:4.68765717281,129:4.62727786944,479:4.60904996131,461:4.49267785503,240:4.46383551235,160:4.45551117529,148:4.40998758766,308:4.34990436208,171:4.33591694382,476:4.33516508639,497:4.29949122599,227:4.29913681256,322:4.29399521755
5	322:5.04827473101,262:4.98722356735,266:4.90609907373,479:4.82171268868,463:4.74901286058,204:4.67113814955,230:4.6390089715,486:4.62325130618,477:4.62165155561,439:4.61233891071,469:4.59397147248,462:4.55387734937,284:4.55327259746,337:4.4987689178,129:4.49133025923
6	200:5.88851421166,151:5.50096517374,309:5.44073653006,486:5.40789523556,472:5.34373169068,308:5.28063833906,469:5.18429196383,214:5.06001463761,227:4.9810985727,162:4.97420944848,482:4.96422673914,144:4.96182884105,435:4.95496973571,161:4.87061956212,170:4.82391066912
7	200:7.70459210122,214:7.27716355566,129:6.89107207022,308:6.80944377981,148:6.75258723772,458:6.64235171939,171:6.58536876532,162:6.52855631375,255:6.51090257024,260:6.4653937028,271:6.36449070863,425:6.32149734776,284:6.27565578872,485:6.25545536417,472:6.22720702303
8	496:5.04504802779,355:4.91898623491,489:4.88574851444,469:4.81474338686,448:4.66159165015,129:4.56289412541,280:4.53495996922,284:4.51669829368,266:4.47211644213,160:4.36521684657,268:4.36276230027,322:4.35283145228,200:4.32294664076,380:4.32153681697,462:4.30681372083
9	276:6.54605651053,204:6.31396531794,271:6.29909262616,497:6.26269823107,343:6.14166837185,184:6.03870553588,247:5.96632878995,221:5.95483646826,474:5.95400924509,266:5.9367554794,284:5.88543834893,461:5.88149222003,129:5.8804014006,272:5.85741594669,476:5.84260490762
10	200:5.38507224963,464:5.27321935973,380:5.22083056282,276:5.21732124737,472:5.20755073642,173:5.05665322527,227:5.01061071857,247:5.00822390829,308:4.95638578824,458:4.92382362592,489:4.86588039528,184:4.862374565,469:4.85594971731,262:4.82703731994,231:4.76385984309
11	184:5.6565248118,227:5.63775641476,472:5.631291104,181:5.5291397301,260:5.46892347929,499:5.34420557157,276:5.32826396205,464:5.31794007958,343:5.28939775549,214:5.28223604694,280:5.2807712317,458:5.21691794145,221:5.1452586934,173:5.14343769882,308:5.13310027955
12	276:5.48486634747,260:5.27023026442,474:5.26527290291,227:5.26137693666,355:5.24235726615,259:5.17701115368,472:5.17366606949,463:5.1565902047,214:5.05470516671,322:5.04297995543,129:5.00305327213,171:4.97313198846,479:4.9516438308,221:4.91462912178,178:4.90527273506
13	322:6.55641263612,479:6.49800490978,148:6.33009536977,171:6.26172607328,476:6.23727317523,204:6.23504107614,469:6.20270017741,462:6.19571710412,220:6.1725128786,485:6.07176358047,259:6.04653858337,200:6.02772379335,472:6.02747229927,214:6.02345063155,255:6.00473300026
14	171:10.7127363077,259:10.5402397196,465:10.1789277066,129:10.1554597666,448:10.0266445899,474:9.96532040212,498:9.88127925086,214:9.76514302739,343:9.68568372119,200:9.56086846481,221:9.51084651639,240:9.37542061138,276:9.32914387975,472:9.32025351298,476:9.25717066901
15	479:5.25908956435,499:5.12883395834,266:5.0490727361,214:4.94814083339,482:4.799947325,268:4.67644377258,278:4.66965445987,260:4.66540878532,471:4.66029630768,56:4.61404513926,280:4.57986360891,322:4.57696787952,171:4.56043604097,480:4.55166330064,129:4.51158126923
16	278:4.49906458412,476:4.45275119305,200:4.22988685651,495:4.08319736969,184:4.05506593151,129:4.00472820095,380:3.95177946969,498:3.94932407249,240:3.92394362622,497:3.89759560533,479:3.89098761044,343:3.8766220409,258:3.8662338466,214:3.79807721985,317:3.79163528539
17	214:10.086199764,341:10.0219641363,479:9.91816362218,280:9.91020914395,322:9.83442863398,129:9.78894224739,200:9.75485562643,276:9.68061267053,221:9.66819951118,171:9.54233001421,220:9.53818358279,275:9.5247662152,227:9.51711215909,260:9.50521696975,480:9.49978466574
18	184:6.60707597805,220:6.485912214,343:6.45402084719,479:6.42942530422,322:6.37710562992,292:6.14538948956,171:6.14533823239,227:6.08796390304,173:6.03382946866,472:6.02001077525,499:5.96255738063,152:5.89800428747,280:5.80612905437,498:5.78078541137,341:5.75934682903
19	406:5.44926353166,266:5.27617756474,240:4.85815268913,341:4.8310419986,227:4.81731692502,497:4.81057843698,465:4.78491148657,477:4.77340175141,284:4.75479730806,214:4.73805348618,272:4.71891480238,308:4.68173149795,200:4.64417073903,177:4.61178123189,267:4.60755454597
20	240:4.77642835789,285:4.56722463516,484:4.54526500605,322:4.48008934456,476:4.43374218641,308:4.37535006554,220:4.34200666907,174:4.32355798517,266:4.29561748777,271:4.25070881759,221:4.24271804968,284:4.22971769372,486:4.12014467846,458:4.08727429921,343:4.07245321075
21	129:4.35866781377,472:4.26202155656,262:4.19626330633,171:4.15795941406,474:4.05244472793,499:4.04318393884,278:4.03154868192,173:4.01501903232,214:4.006768633,152:3.98049148424,207:3.97550896075,284:3.97366319815,200:3.89669317449,322:3.89643348884,476:3.88129348606
22	479:5.21011111251,171:5.19456459428,144:5.08554907579,227:4.98886965729,472:4.9696759494,292:4.93805337125,471:4.86237735061,260:4.84912130161,266:4.79765767905,271:4.79645721057,343:4.76446919869,459:4.76160847174,264:4.71972790815,214:4.69895034044,178:4.6585575714
23	280:5.46778406159,184:5.19176245854,343:5.12922902096,260:5.1155011527,476:5.0136902804,144:5.00451251192,322:4.98902783241,221:4.96880049151,457:4.9175777608,240:4.91121526745,220:4.83981878792,263:4.82304441344,292:4.8105394203,56:4.79739506013,341:4.76846290567
24	129:5.18628261216,284:5.14173824914,200:5.13876777563,262:5.09614539374,471:4.97787649387,240:4.96410199755,464:4.94955637589,476:4.93200675699,479:4.86689139216,308:4.79391513842,214:4.77890535545,151:4.75815537014,276:4.72884160499,486:4.66018131227,144:4.65090316031
25	240:4.62954622943,476:4.60686590677,276:4.55249029317,497:4.49341782202,499:4.36377181569,200:4.34785225761,341:4.21623493984,482:4.20718294861,262:4.17910322346,173:4.168378834,380:4.16087419192,258:4.14475458186,485:4.12450936749,161:4.09679914597,129:4.07364752488
26	148:5.61583120673,214:5.30086869947,476:5.29922013006,463:5.14488324677,479:5.12226926708,227:5.07679992712,486:5.03808604459,200:5.00689890354,284:4.97914444683,266:4.95311441051,221:4.94372610041,322:4.93896253729,484:4.93847721584,157:4.89415928386,483:4.89009904917
27	479:4.82313173204,214:4.5210274014,129:4.50229722628,204:4.46873709388,472:4.45249209177,200:4.41079268232,355:4.36024240353,266:4.3499621727,498:4.33683680998,278:4.32337077382,497:4.32293782082,171:4.32129998283,231:4.3140761731,499:4.30453579446,259:4.30193463596
28	214:5.27485443249,262:5.15770988223,458:5.13893378157,266:4.96079134511,200:4.9590804887,479:4.95143425002,221:4.93031575106,477:4.89561003435,160:4.87540200375,308:4.84624300355,278:4.83136028044,268:4.80567231177,56:4.7815532525,230:4.76850871205,220:4.74565005617
29	476:5.60483129717,479:5.49622831724,200:5.37404446976,278:5.30912453436,498:5.23423428364,129:5.1767154736,160:5.12577675058,347:5.12216067783,474:5.06308253933,276:5.05460355111,284:5.0309866719,171:5.01506452597,497:5.01374889681,322:4.98955739227,259:4.96132356965
